network,condition,method,n,mean_waiting_time_s_mean,mean_waiting_time_s_ci_low,mean_waiting_time_s_ci_high,mean_stopped_vehicles_mean,mean_stopped_vehicles_ci_low,mean_stopped_vehicles_ci_high,mean_speed_m_s_mean,mean_speed_m_s_ci_low,mean_speed_m_s_ci_high,mean_travel_time_s_mean,mean_travel_time_s_ci_low,mean_travel_time_s_ci_high,p95_vehicle_waiting_time_s_mean,p95_vehicle_waiting_time_s_ci_low,p95_vehicle_waiting_time_s_ci_high,max_vehicle_waiting_time_s_mean,max_vehicle_waiting_time_s_ci_low,max_vehicle_waiting_time_s_ci_high,p95_network_queue_mean,p95_network_queue_ci_low,p95_network_queue_ci_high,max_network_queue_mean,max_network_queue_ci_low,max_network_queue_ci_high,throughput_vehicles_mean,throughput_vehicles_ci_low,throughput_vehicles_ci_high,departed_vehicles_mean,departed_vehicles_ci_low,departed_vehicles_ci_high,stops_per_departed_vehicle_mean,stops_per_departed_vehicle_ci_low,stops_per_departed_vehicle_ci_high,co2_g_mean,co2_g_ci_low,co2_g_ci_high,nox_g_mean,nox_g_ci_low,nox_g_ci_high,fuel_g_mean,fuel_g_ci_low,fuel_g_ci_high,signal_queue_jain_fairness_mean,signal_queue_jain_fairness_ci_low,signal_queue_jain_fairness_ci_high,worst_signal_mean_queue_mean,worst_signal_mean_queue_ci_low,worst_signal_mean_queue_ci_high,emergency_waiting_time_s_mean,emergency_waiting_time_s_ci_low,emergency_waiting_time_s_ci_high,mean_emergency_travel_time_s_mean,mean_emergency_travel_time_s_ci_low,mean_emergency_travel_time_s_ci_high,teleports_mean,teleports_ci_low,teleports_ci_high,emergency_stops_mean,emergency_stops_ci_low,emergency_stops_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,hard_braking_vehicle_steps_mean,hard_braking_vehicle_steps_ci_low,hard_braking_vehicle_steps_ci_high,ttc_below_1_5_vehicle_samples_mean,ttc_below_1_5_vehicle_samples_ci_low,ttc_below_1_5_vehicle_samples_ci_high,ttc_valid_samples_mean,ttc_valid_samples_ci_low,ttc_valid_samples_ci_high,minimum_green_violations_mean,minimum_green_violations_ci_low,minimum_green_violations_ci_high,unsafe_transition_violations_mean,unsafe_transition_violations_ci_low,unsafe_transition_violations_ci_high,switches_per_signal_hour_mean,switches_per_signal_hour_ci_low,switches_per_signal_hour_ci_high,llm_call_rate_mean,llm_call_rate_ci_low,llm_call_rate_ci_high,proposal_disagreement_rate_mean,proposal_disagreement_rate_ci_low,proposal_disagreement_rate_ci_high,override_accept_rate_mean,override_accept_rate_ci_low,override_accept_rate_ci_high,fallback_rate_mean,fallback_rate_ci_low,fallback_rate_ci_high,controller_latency_p50_s_mean,controller_latency_p50_s_ci_low,controller_latency_p50_s_ci_high,controller_latency_p95_s_mean,controller_latency_p95_s_ci_low,controller_latency_p95_s_ci_high,controller_latency_p99_s_mean,controller_latency_p99_s_ci_low,controller_latency_p99_s_ci_high,llm_lookup_latency_p50_s_mean,llm_lookup_latency_p50_s_ci_low,llm_lookup_latency_p50_s_ci_high,llm_lookup_latency_p95_s_mean,llm_lookup_latency_p95_s_ci_low,llm_lookup_latency_p95_s_ci_high,llm_lookup_latency_p99_s_mean,llm_lookup_latency_p99_s_ci_low,llm_lookup_latency_p99_s_ci_high,estimated_controller_energy_wh_mean,estimated_controller_energy_wh_ci_low,estimated_controller_energy_wh_ci_high,peak_process_rss_mb_mean,peak_process_rss_mb_ci_low,peak_process_rss_mb_ci_high,wall_time_s_mean,wall_time_s_ci_low,wall_time_s_ci_high,ttc_below_1_5_pooled_rate,co2_g_per_departed_vehicle,nox_g_per_departed_vehicle,fuel_g_per_departed_vehicle
cologne8,demand_shock,ergs_no_calibration,20,3.4071906666950325,3.3574900908996783,3.458781287348084,19.208958333333335,18.86145833333334,19.545416666666668,6.741573341438378,6.70013961277512,6.783866203512263,115.98174602159459,115.08297098218873,116.83226550476833,64.03249999999998,63.11999999999998,64.88249999999998,96.0,95.2,96.65,41.807499999999976,40.76499999999997,42.87006249999997,62.95,59.8,66.2,2534.0,2528.5,2539.45,2572.8,2568.1,2577.55,1.1062899429321924,1.090773319440713,1.1213936171648602,519078.03336928133,515390.6245574839,522443.31046739547,182.32421214791273,181.01363178578362,183.52210012538757,168278.92275905304,167100.97980030536,169368.96967670665,0.5344553814857788,0.5201222934150469,0.5484926767171516,7.103541666666667,6.781458333333333,7.430416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.59750000000004,84.1,0.0,0.0,0.0,819.55,803.85,834.95,5379.65,5339.3,5419.05,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.025,63.45625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.271875,0.26145833333333335,0.28203125,0.0,0.0,0.0,1.0,1.0,1.0,0.0013253300101496279,0.0012604072607064153,0.0014037762011867017,0.06072828100266627,0.0556917222735646,0.06730317726849162,0.11646635825297542,0.09888902365857778,0.13849342496838177,3.0777498614043e-05,2.8332426518318245e-05,3.3327509299851954e-05,0.03459320250112795,0.029305229943020095,0.040640525435723204,0.05651567464554683,0.04362423702753734,0.07180842855622901,0.035398806175411066,0.0316901388414426,0.039827879961009886,480.827734375,477.863251953125,483.62093261718746,35.16082217999501,33.583754432614654,36.963192608610555,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
cologne8,demand_shock,ergs_no_hysteresis,20,3.4071906666950325,3.358566979804642,3.457792697005653,19.208958333333335,18.855208333333337,19.54208854166667,6.741573341438378,6.700555003650844,6.784826486955503,115.98174602159459,115.10231925115352,116.83587579899913,64.03249999999998,63.129999999999974,64.8975,96.0,95.2,96.65,41.807499999999976,40.75993749999997,42.88756249999998,62.95,59.7,66.2,2534.0,2528.45,2539.45,2572.8,2568.0,2577.65,1.1062899429321924,1.0907725078874748,1.1210015075342068,519078.03336928133,515375.5902938337,522440.9566754355,182.32421214791273,181.02108965593598,183.507355569094,168278.92275905304,167101.90439192575,169365.31887561185,0.5344553814857788,0.5199480184951281,0.5484602157379641,7.103541666666667,6.777708333333332,7.427708333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.5,84.2,0.0,0.0,0.0,819.55,804.05,835.15,5379.65,5339.148749999999,5418.75125,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.025,63.4625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.2716145833333333,0.2606770833333334,0.28203125,0.0,0.0,0.0,1.0,1.0,1.0,0.0012625799950910731,0.0012420518595172324,0.0012840629390848334,0.05535175099212207,0.05386123044931442,0.05703941626225419,0.09838305109646159,0.09350821889145872,0.10375457864237529,2.8217496583238245e-05,2.6799920669873247e-05,2.9467497442965394e-05,0.029946437489415983,0.02867274545180407,0.03203336111469979,0.04313706329325216,0.03759099073219841,0.04943806715013488,0.031309137974935265,0.030205676859291795,0.03241646447284276,481.7958984375,478.8222265625,484.652421875,33.2651246650028,32.09217535574032,34.31682748537744,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
cologne8,demand_shock,ergs_no_shield,20,3.4071906666950325,3.3583842548671026,3.4581523076305936,19.208958333333335,18.854375,19.542927083333332,6.741573341438378,6.6997921827508025,6.784920761732041,115.98174602159459,115.07989389234947,116.83931405004617,64.03249999999998,63.11999999999998,64.88006249999997,96.0,95.2,96.65,41.807499999999976,40.76743749999997,42.864999999999974,62.95,59.8,66.2,2534.0,2528.35,2539.55,2572.8,2567.95,2577.65,1.1062899429321924,1.0909408099251219,1.1212278285214206,519078.03336928133,515433.56649863295,522419.84182917373,182.32421214791273,181.06059982830595,183.5303443613039,168278.92275905304,167084.40412340208,169372.27193611366,0.5344553814857788,0.5203591632475811,0.5485335706673294,7.103541666666667,6.780828125,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.5,84.1,0.0,0.0,0.0,819.55,803.9,835.3,5379.65,5339.15,5418.75,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.025,63.45625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.271875,0.2611979166666667,0.28203125000000007,0.0,0.0,0.0,1.0,1.0,1.0,0.001268022516160272,0.0012397899511415744,0.0012989606441260548,0.05418508649949212,0.05219546845686994,0.05633122773415374,0.09743554474873221,0.09166604262388708,0.10347280060005702,2.7597500593401492e-05,2.614250399346929e-05,2.8787495102733375e-05,0.02850054325303062,0.027976633171689167,0.029035553265159247,0.0401027175554773,0.035957842742446525,0.04459135729136179,0.03063038351658583,0.02941766664265258,0.03189392420391475,481.449609375,478.45115234375,484.3193505859375,32.968172294995746,31.665103622617025,34.18139173823423,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
cologne8,demand_shock,ergs_no_uncertainty,20,3.4071906666950325,3.358724338653222,3.4579562871024687,19.208958333333335,18.8601875,19.547302083333335,6.741573341438378,6.700612527890742,6.784524689567341,115.98174602159459,115.09677499900992,116.8375145986426,64.03249999999998,63.13249999999998,64.88249999999998,96.0,95.2,96.65,41.807499999999976,40.75499999999998,42.862499999999976,62.95,59.75,66.2,2534.0,2528.5,2539.45,2572.8,2568.0,2577.7,1.1062899429321924,1.0909847878688521,1.1214430763063101,519078.03336928133,515449.3373145754,522365.6392340454,182.32421214791273,181.02603080218194,183.51452361672239,168278.92275905304,167087.86743193847,169368.76850369794,0.5344553814857788,0.5201154473801193,0.5486068782903328,7.103541666666667,6.778958333333333,7.428124999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.6,84.1,0.0,0.0,0.0,819.55,803.9,834.9,5379.65,5338.55,5418.3,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.025,63.4625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.271875,0.26145833333333335,0.28203125,0.0,0.0,0.0,1.0,1.0,1.0,0.0012849874852690845,0.0012394672322261612,0.0013423251418134895,0.05596097100380572,0.05340391775788884,0.05908016604347354,0.10734371775010357,0.0985991719234428,0.11889168804398635,2.95000005280599e-05,2.7827513767988422e-05,3.103248331171926e-05,0.030940359501983032,0.02861639874244429,0.034495642888628934,0.04520142230286729,0.03896180407872309,0.05226857779914571,0.03209991091296412,0.030451165774274456,0.03427889537797292,481.2373046875,478.29412109375,484.110400390625,33.17141364500858,31.77844756638064,34.71930105851235,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
cologne8,demand_shock,ergs_v3,20,3.4071906666950325,3.357805665408947,3.4585627139675275,19.208958333333335,18.86519791666667,19.543963541666667,6.741573341438378,6.700046580888721,6.784278399654074,115.98174602159459,115.10103847336245,116.84166587602331,64.03249999999998,63.11499999999997,64.88249999999998,96.0,95.2,96.65,41.807499999999976,40.754999999999974,42.89499999999998,62.95,59.7,66.1,2534.0,2528.45,2539.4512499999996,2572.8,2568.0,2577.65,1.1062899429321924,1.0908548454130145,1.1215335522610734,519078.03336928133,515413.5854222298,522403.89641835657,182.32421214791273,181.03389785756994,183.50562452473827,168278.92275905304,167092.64472022036,169374.48416431135,0.5344553814857788,0.5200937611938423,0.5484961651649571,7.103541666666667,6.778328125,7.432921874999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.7,84.1,0.0,0.0,0.0,819.55,804.1,834.9,5379.65,5340.2,5418.45125,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.031093750000004,63.45625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.271875,0.26145833333333335,0.28177083333333336,0.0,0.0,0.0,1.0,1.0,1.0,0.0012494499969761819,0.0012325498031714234,0.0012674725565739208,0.05479906973661848,0.05307346030430193,0.0565973225215929,0.09769501529942487,0.09138955510459919,0.10497329549960545,2.870250027626753e-05,2.7190003311261535e-05,3.0079999196459538e-05,0.029364125753054388,0.028350922112251275,0.030785307097416056,0.04013070626661649,0.0352464444770798,0.04584446573177849,0.030865025841533982,0.029712061468322035,0.03209089248075421,482.2869140625,479.4734228515625,485.0087939453125,38.05070836499799,36.42568886849272,39.768161347256395,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
cologne8,demand_shock,fixed,20,6.352952617401267,6.260709165363428,6.445815876360447,30.917916666666674,30.20895833333334,31.634380208333333,5.993898402125847,5.937384863656319,6.049610791097156,130.80831849564737,129.29489224322657,132.35121907201548,74.9,73.9,75.85,94.45,93.35,95.5,63.97999999999998,62.59749999999998,65.42749999999998,95.3,92.25,98.45,2528.5,2523.45,2533.6,2572.8,2568.1,2577.55,1.2873968718848245,1.2667832489216173,1.3081349033258065,579139.7017071698,572363.5047440154,586091.426389409,209.223250884123,206.77262537581862,211.8046573701062,187750.92043438132,185582.56964141797,189989.07095892823,0.521439253449139,0.5124293634608912,0.5295899915229926,10.910416666666666,10.523953125,11.323963541666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0,96.1,89.0,103.5,0.0,0.0,0.0,965.0,941.95,988.6,5628.15,5572.55,5682.6,0.0,0.0,0.0,0.0,0.0,0.0,144.0,144.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36375101748854e-05,6.156251183710992e-05,6.558750756084919e-05,0.00011633223941316822,0.00010964801633235762,0.00012368951689131788,0.00016441950929583967,0.0001520885596721199,0.00017601423040032368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002984288131038839,0.0002884657119421819,0.00030824011863539154,477.578515625,473.6593505859375,481.2074658203125,33.250454639986856,32.11989729234308,34.3305526144999,0.17145953821415563,225.1009412729982,0.08132122624538363,72.97532666137334
cologne8,demand_shock,idqn,20,3.0796283026909537,3.0180417252285445,3.140273706793203,20.432291666666664,20.027697916666668,20.836276041666665,6.627750931099802,6.582346809706352,6.673115470967048,119.12731890691093,118.28644351740854,119.96226889737169,63.95,63.1,64.75,91.85,90.45,93.1,44.73999999999999,43.48999999999999,46.004999999999974,65.8,62.7,68.95,2534.95,2530.05,2540.0,2572.75,2567.95,2577.6,1.1870063071036632,1.1683396132590562,1.2064921287878894,530799.4266513947,527251.105916588,534269.8734199725,186.4359737276407,185.15799750648657,187.6704648751006,172078.86402861934,170946.5184450935,173195.08502421688,0.5303135460022823,0.5203146223281702,0.5397348009409445,7.383749999999999,7.1535416666666665,7.624374999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7,80.3,93.2,0.05,0.0,0.15,879.4,862.9,897.0012499999999,5456.0,5414.2,5494.55125,0.0,0.0,0.0,0.0,0.0,0.0,92.2125,92.03734374999999,92.39375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001188262496725656,0.0011379698615928647,0.0012441929321357747,0.0019030772519181478,0.0017560276559961487,0.002065145114422193,0.0024582228024955825,0.002218681869687861,0.002699126891403282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005346310486485082,0.0050894902465327815,0.005632069774262871,478.4826171875,474.9152294921875,481.9521826171875,33.35889559999923,31.694356169513483,35.02716751362255,0.16118035190615837,206.31597576577389,0.07246563938495411,66.88518667908633
cologne8,demand_shock,illm_style_review,20,3.6552079736428538,3.585453042552978,3.7305966497024055,19.813750000000002,19.450625000000002,20.195416666666663,6.699874273929879,6.660272938944547,6.740180492878828,116.6326500023662,115.8188347168596,117.50863652701075,66.49749999999999,65.43249999999998,67.65756249999998,95.8,94.9,96.55,41.94499999999998,40.95249999999998,42.949999999999974,64.4,60.95,67.9,2533.85,2528.7,2538.85,2572.8,2568.0,2577.6,1.096497321809263,1.0812476232029793,1.1121603499056854,521351.7434343345,518165.99003556056,524695.0679766936,183.405903657,182.25938475641325,184.6063169550389,169016.06710335857,168005.0689904551,170099.05970500846,0.5537029498289495,0.5432204668907114,0.5642813945332297,6.957499999999999,6.707083333333332,7.210208333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.6,78.4,95.5,0.0,0.0,0.0,816.95,801.0,834.25,5383.4,5347.75,5420.9,0.0,0.0,0.0,0.0,0.0,0.0,61.3125,60.98125,61.63125,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.25468750000000007,0.2458333333333333,0.2630273437499995,0.025468750000000002,0.024583333333333336,0.026328125,0.9745312499999998,0.9736979166666666,0.9754166666666668,0.0013107975071761757,0.0012281094526406377,0.001413143636964378,0.0021914292455767277,0.0020372906520860845,0.002377072772062092,0.003010485251259522,0.0028515155090150044,0.0031796033916049035,1.5447501209564506e-05,1.4194997420418077e-05,1.6867503436515108e-05,5.329574574716388e-05,4.999299041082849e-05,5.732824419828829e-05,7.373501756228509e-05,6.840160079154886e-05,7.998528262978656e-05,0.00608531562319614,0.005723197934126599,0.006523394229645417,480.4109375,477.49177734374996,483.179912109375,33.53589823000366,31.885248381383715,35.55713669311283,0.15175353865586805,202.63982565078302,0.07128649862290112,65.69343404203924
cologne8,demand_shock,lightgpt_direct,20,4.145055045789123,4.084817318875657,4.205211275261669,31.52520833333333,30.788541666666667,32.282296875,5.684899597577074,5.634404453304873,5.737770817953586,142.36284167572785,140.78839938390618,143.97307461572427,72.7,72.3,73.1,94.95,93.3,96.6,61.13249999999998,59.827499999999986,62.419999999999995,84.15,80.45,88.15,2534.0,2528.4,2539.55,2572.8,2568.05,2577.65,1.6420921053283528,1.6107254406358236,1.6742515568580465,622459.5408807425,616169.1847638757,629155.4548096933,220.4935909752121,218.15096500280657,223.0661273584316,201794.26022959047,199755.92873043875,203966.0986416491,0.4659621789054086,0.46203162458871944,0.4696743596598015,11.060833333333333,10.793744791666667,11.324583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.5,97.3,112.1,0.0,0.0,0.0,1235.7,1209.3,1261.45,6041.15,5987.35,6098.20125,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,1.0,1.0,1.0,0.7475781250000001,0.7450520833333334,0.7501302083333333,0.32375000000000004,0.3223958333333333,0.325078125,0.5,0.5,0.5,0.002619997496367432,0.0024385034401348095,0.0028180149370018626,0.004308259507524777,0.0038994706525263584,0.004729567836802742,0.005331384647404773,0.004918634496863522,0.005731998347560873,1.557999930810183e-05,1.4754995936527848e-05,1.6460003098472954e-05,3.1039009045343846e-05,2.858900783758144e-05,3.365328491054243e-05,4.339924507075918e-05,4.0802073829399876e-05,4.607518098782746e-05,0.012072738886191576,0.011208526663118794,0.012980395099687991,479.213671875,475.9378857421875,482.39807617187495,37.74373386998195,35.42720762936312,40.1108284622358,0.2045471474801983,241.9385653298906,0.08570179997481814,78.43371433053112
cologne8,demand_shock,llm_no_semantic,20,3.4071906666950325,3.3584425812855008,3.4573705823472816,19.208958333333335,18.860406250000004,19.54396354166667,6.741573341438378,6.70078997723067,6.784332033384573,115.98174602159459,115.08598933220864,116.83138368829286,64.03249999999998,63.1,64.89499999999998,96.0,95.2,96.65,41.807499999999976,40.75999999999998,42.862499999999976,62.95,59.75,66.2,2534.0,2528.45,2539.5,2572.8,2568.1,2577.6,1.1062899429321924,1.0909489207585816,1.121277200890371,519078.03336928133,515423.6284042336,522452.78957913356,182.32421214791273,181.01553856674744,183.52890362368152,168278.92275905304,167103.90732021828,169383.4010200272,0.5344553814857788,0.5201092592618914,0.5482858312264243,7.103541666666667,6.779166666666667,7.4320885416666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,70.4,84.3,0.0,0.0,0.0,819.55,804.3,835.05,5379.65,5339.44875,5418.1,0.0,0.0,0.0,0.0,0.0,0.0,63.24375,63.03125,63.45625,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00136703749303706,0.0012626999303756747,0.0014914386821328661,0.0023192234770976925,0.002130249654997896,0.0025472792240252592,0.003131581692781763,0.0028333102503631364,0.0034697272429359133,2.6967487065121533e-05,2.4994992199935953e-05,2.915747485531028e-05,0.00023702274891547847,0.000210018653589941,0.0002690825552417664,0.0003204222602071242,0.00028698772588250004,0.0003576647919966491,0.006378535134386361,0.005910535146576878,0.006938073320650397,480.001953125,477.00545898437497,482.9105810546875,33.20109823001549,31.722379268414077,34.78022721062705,0.15234262452018255,201.75607640286123,0.07086606504505315,65.40691960473144
