name,reproduces_published,overall_improvement,overall_lo95,overall_hi95,h4_improvement,h4_lo95,h4_hi95,worst_condition_improvement,worst_network_improvement
history_ridge_alpha=100,True,0.20185757877884714,0.1705889562602102,0.23314407355011738,-0.045761906929356444,-0.09594012415222372,-0.0026684604482013707,-0.14368001154995613,0.17563276593619093
current_ridge_alpha=100,True,0.17982788270375194,0.15631670719476476,0.20292509977250617,-0.005120452904717077,-0.023617536879083478,0.010589014801645603,0.06042890915591326,0.15536336693071728
current_ridge_alpha=10,True,0.17783229852179094,0.15270189324863687,0.20268831909971366,-0.011491014294884083,-0.0359031767559297,0.008511606938389564,0.026990031676097925,0.15689520751986474
current_ridge_alpha=1,True,0.17774920780877623,0.15227298516599616,0.2028540136738754,-0.012876827101267807,-0.038167698526490726,0.008565697203092037,0.026026323356048264,0.1561650435152655
current_ridge_alpha=0.1,True,0.1776789786073979,0.1522450364187732,0.20273202414858973,-0.01338858256772002,-0.0387861999587595,0.008308540337211852,0.02288134824509447,0.15574879566525235
current_ridge_alpha=0.01,True,0.17762351398529697,0.15218866063801875,0.20268915086509348,-0.013492051156011042,-0.03890629458450997,0.008236151696460615,0.02172406371389557,0.15566913583941222
current_ridge_alpha=0,True,0.17478747166619502,0.1495783588033721,0.1995950705492302,-0.014531323326987478,-0.040402561775251276,0.007022425821935029,0.011461014104193645,0.15338967456417063
history_ridge_alpha=10,True,0.1548475299319353,0.11710654090851093,0.191333028432299,-0.13561827839865237,-0.21643744245748475,-0.06355804656297188,-0.5295692628401936,0.13100324742440916
network_condition_mean_oracle,True,0.11923229840407579,0.09716988580901205,0.1407034004430255,-0.024471358138152377,-0.04216049132795392,-0.009512515566144075,0.02114430969329495,0.0800639820508553
global_canonical_mean,True,0.1180220887406721,0.10019753454347183,0.13535596674327408,-0.0006914681937415512,-0.006093774170443223,0.004346235190645746,-0.06573959464414236,0.08351702675352302
history_ridge_alpha=1,True,0.10651463410368689,0.06253255268181743,0.1480642683241686,-0.20823181010985414,-0.3045033525495253,-0.12134793249823041,-0.8730212615186883,0.08432138302569014
history_ridge_alpha=0.1,True,0.08287447315244312,0.03673777038638546,0.12673977617346704,-0.23585607695661226,-0.34015011995881844,-0.1415625798992634,-1.0252210218019338,0.06525017542737888
history_ridge_alpha=0.01,True,0.0761799277456855,0.02945841717020401,0.12100271863650934,-0.2437844957484938,-0.35030795006908433,-0.14853508706268098,-1.064814245745326,0.06099411468229243
history_ridge_alpha=0,True,0.005433143986031119,-0.05400065848532387,0.06364985833705662,-0.37895095832922676,-0.5568494467168899,-0.22643032671251356,-1.5139099925095545,-0.032792697225876966
zero_effect,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_shuffle_history_ridge_alpha1,True,-0.040941813138693384,-0.07799041979488854,-0.00539966104963697,-0.216199287425076,-0.2972671999743965,-0.15230625575576887,-0.791652163006402,-0.08863110883668246
