system,kind,overall,h4,worst_cond,worst_net,corr_min
BASELINE history_ridge_alpha=100,baseline,0.2014459911964588,-0.0540523820549964,-0.3994666327560603,0.114798591052267,
BASELINE current_ridge_alpha=100,baseline,0.1805747640975042,-0.0063375298651022,-0.2103851684742836,0.1046381765641863,
BASELINE current_ridge_alpha=10,baseline,0.1785487880876299,-0.013217659626375,-0.2525129236493189,0.0992313676887175,
BASELINE current_ridge_alpha=1,baseline,0.1784930235579949,-0.0145804818587007,-0.2508060820646929,0.0970717323421891,
BASELINE current_ridge_alpha=0.1,baseline,0.1784318498309164,-0.0150094498006504,-0.255972961030757,0.0962349936313873,
BASELINE current_ridge_alpha=0.01,baseline,0.1783772332196543,-0.0150970696311502,-0.2578394248887965,0.0960948652502823,
NEURAL R2 m-e27868141735 (gru/shared_branch),neural,0.1769400654570006,0.0005352340703677,-0.1291286261868613,0.0958799992721501,-0.013670766603087
BASELINE current_ridge_alpha=0,baseline,0.1751238594174931,-0.0164272779502352,-0.2874062320208534,0.0954284387505562,
NEURAL R2 m-e8303caeab0f (tcn/antisymmetric),neural,0.1741532751883134,0.0029052284530099,-0.1698287268246237,0.0886241236652809,-0.0250715790005497
NEURAL R2 m-b3a8b1c508b4 (tcn/antisymmetric),neural,0.1725262764004416,0.0015458073493576,-0.1502150111611522,0.0795931212150551,-0.0214164641916592
NEURAL R2 m-49b072af5e16 (transformer/antisymmetric),neural,0.1709019359132816,0.0001462574188633,-0.0945165606959033,0.0752528202168596,-0.017465526159287
NEURAL R2 m-bab63fe33ce4 (transformer/antisymmetric),neural,0.1697758889230727,0.0007774744314513,-0.1001049101450028,0.0727327984823603,-0.0133615811168608
BASELINE history_ridge_alpha=10,baseline,0.1541102169898656,-0.1492350013417901,-0.7902913854247986,0.0533482639118684,
BASELINE network_condition_mean_oracle,baseline,0.1209814144183327,-0.0246818923645911,-0.0568983792247901,0.0378254064077132,
BASELINE global_canonical_mean,baseline,0.1190590689005729,-0.0012685653978567,-0.233200560665296,0.0588925255522004,
BASELINE history_ridge_alpha=1,baseline,0.1056595467046018,-0.2222067397579304,-1.1844829271089503,0.0020626165542103,
BASELINE history_ridge_alpha=0.1,baseline,0.0818751365047559,-0.2495009530448661,-1.4052489268683432,-0.0133356929491161,
BASELINE history_ridge_alpha=0.01,baseline,0.0751252023494628,-0.2571645691307361,-1.4495278690056672,-0.01851674905851,
BASELINE history_ridge_alpha=0,baseline,0.0036416865571037,-0.3925962649214994,-2.246232653413379,-0.1612835677768405,
BASELINE zero_effect,baseline,0.0,0.0,0.0,0.0,
BASELINE target_shuffle_history_ridge_alpha1,baseline,-0.0434372485778427,-0.2194018820861991,-1.3654272212669647,-0.1867029772834945,
