system,kind,min_mean_condition,min_mean_network,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise
NEURAL m-49b072af5e16 (transformer/antisymmetric),neural,0.1265290273851979,0.1216777749095762,0.2120372172365785,0.2006666257220646,0.1378232931658871,0.1974472250426701,0.1321519096804262,0.1265290273851979
NEURAL m-bab63fe33ce4 (transformer/antisymmetric),neural,0.1123008492721498,0.1225683839105422,0.2128891215698776,0.1996891734906786,0.1373685614936708,0.1989798921213361,0.1295551879006932,0.1123008492721498
NEURAL m-e27868141735 (gru/shared_branch),neural,0.1113658472897541,0.1387705345061553,0.2275432121974472,0.1989966247900802,0.1432884061020626,0.2059455472159125,0.1292602874802749,0.1113658472897541
NEURAL m-e8303caeab0f (tcn/antisymmetric),neural,0.1109129151610454,0.133825186383462,0.2172996002017146,0.2025741986063972,0.1407687699768923,0.2018114413129946,0.1315244391477646,0.1109129151610454
NEURAL m-b3a8b1c508b4 (tcn/antisymmetric),neural,0.1059963333035423,0.1319576332280869,0.2136243571763159,0.2038393250652391,0.1442612225766275,0.1978874116801537,0.1303110464520974,0.1059963333035423
current_ridge_alpha=100,baseline,0.07475696966263246,0.15597449582578826,0.19873217228446946,0.21920663058068737,0.1497851397826866,0.22496148559805781,0.14656846526747608,0.07475696966263246
current_ridge_alpha=10,baseline,0.039555411708084985,0.1574064035101117,0.19911265462828254,0.2234939558906671,0.13568166037544954,0.23213376793839977,0.14557108755462672,0.039555411708084985
current_ridge_alpha=1,baseline,0.03920531975567469,0.15668639112978017,0.19937435529597924,0.2243483091373532,0.13224787401583776,0.23334153467927896,0.1459688091773153,0.03920531975567469
current_ridge_alpha=0.1,baseline,0.03599729683621178,0.15627658345472026,0.19966231558518613,0.22462804382735352,0.13202592066605928,0.23342536426932375,0.1462151585838439,0.03599729683621178
current_ridge_alpha=0.01,baseline,0.034744297835536876,0.15619871549383418,0.19970680500995008,0.22466813708007463,0.13201052558760903,0.23342473424771298,0.1462460963167928,0.034744297835536876
network_condition_mean_oracle,baseline,0.028641422789017757,0.08298168019529109,0.11843889468659272,0.14887128174164294,0.11396543993187983,0.15716383578259968,0.11186301159528086,0.028641422789017757
current_ridge_alpha=0,baseline,0.022690699646595515,0.15325795249394886,0.19405667202534987,0.22448843037600286,0.12415942932423754,0.23241320360062626,0.14721367698284712,0.022690699646595515
zero_effect,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_canonical_mean,baseline,-0.06110183510287219,0.0849391493368014,0.12485973292014703,0.16626563799420907,0.09338937818843715,0.16386863946339728,0.11925615386051236,-0.06110183510287219
history_ridge_alpha=100,baseline,-0.15253773938082213,0.1739217850464972,0.288386570985415,0.26877102209251397,0.13791680459342068,0.25397907979398326,0.16315411904313656,-0.15253773938082213
history_ridge_alpha=10,baseline,-0.5618281059912469,0.12852600249255086,0.2500715644434962,0.26644338783703897,0.10302606991444388,0.2516787175193717,0.1100907903188774,-0.5618281059912469
target_shuffle_history_ridge_alpha1,baseline,-0.8682362896454489,-0.09370805481174638,0.038918509742230524,0.08203641567180284,-0.11319105480906184,0.09076342335750684,-0.07874160931598581,-0.8682362896454489
history_ridge_alpha=1,baseline,-0.9428904429153029,0.08188654616434521,0.21336038012240105,0.2640324912238105,0.0648839803224411,0.24192226521467272,0.04783778399384866,-0.9428904429153029
history_ridge_alpha=0.1,baseline,-1.1099513077556753,0.06296296196425544,0.20251810074745563,0.26086604710952965,0.043160901276483976,0.23423980694658217,0.011202286111243142,-1.1099513077556753
history_ridge_alpha=0.01,baseline,-1.151890641954791,0.05869551810304983,0.2007306048334519,0.2594728856713805,0.038268513350321665,0.23201513271668697,-0.0027072479211329046,-1.151890641954791
history_ridge_alpha=0,baseline,-1.6420346330021574,-0.03725714422186739,0.17696158492663075,0.2489022964789398,-0.1402800597639396,0.23700839503900567,-0.036825702123714124,-1.6420346330021574
